Item,Cost,Source
80mm Edf,84$,(aliexpress)https://www.aliexpress.com/item/33005297363.html?mp=1&pdp_npi=5%40dis%21PKR%21PKR%2032659.72%21PKR%2026453.78%21%21PKR%2025197.52%21%21%21%402101246417661293351643916e1ba3%2167064405256%21ct%21PK%216195667158%21%211%210
Sg-90 Servo(10),PKR 300(10),(ill buy it myself and apply for reimburshment)https://electrobes.com/product/towerpro-sg-90-servo-motor-180-degree-rotation/
22.2v 5200 mah lipo,PKR 19,000,(ill buy it myself and apply for reimburshment)https://electrobes.com/product/5200mah-22-2v-6s-40c-lipo-lithium-polymer-rechargeable-battery-pack-for-rc-drone/
120A esc,45$,(aliexpress)https://www.aliexpress.com/item/1005006966316369.html?mp=1&pdp_npi=5%40dis%21PKR%21PKR%2028508.38%21PKR%2014254.19%21%21PKR%2014254.19%21%21%21%402101246417661293351643916e1ba3%2112000051644144030%21ct%21PK%216195667158%21%211%210
5mm depromn sheets,Pkr 750 (for1 sheet ),(ill buy it myself and use reimburshment )
3mm carbon fibre ,----,(ill buy it myself and use reimburshment )
ESP32 devkit M1 (4),1000PKR(4),(ill buy myself and use reimbursement)Electrobes physical shop
PCb manufacturing,estimated 100$ for both,---
5v 1800mah (2) lipo for spotter board and sniper board,660Pkr(2),(ill buy myself and apply for reimbursement)Electrobes(https://electrobes.com/product/700mah-3-7v-1s-rechargeable-lithium-ion-battery-li-ion-lithium-polymer-li-ion-lipo-battery/)
Total,estimated 330$,will return remaining 

